title,album_name,artist_name
Airplane pt.2,LOVE YOURSELF 轉 `Tear`,방탄소년단
Anpanman,LOVE YOURSELF 轉 `Tear`,방탄소년단
Magic Shop,LOVE YOURSELF 轉 `Tear`,방탄소년단
Love Maze,LOVE YOURSELF 轉 `Tear`,방탄소년단
낙원,LOVE YOURSELF 轉 `Tear`,방탄소년단
134340,LOVE YOURSELF 轉 `Tear`,방탄소년단
전하지 못한 진심 (Feat. Steve Aoki),LOVE YOURSELF 轉 `Tear`,방탄소년단
FAKE LOVE,LOVE YOURSELF 轉 `Tear`,방탄소년단
우리 서로,우리 서로,김나영
너란 별,The 4th Album Part.2. #1 Will be a start,케이윌 (K.Will)
그대들은 어떤 기분이신가요,제련해도,빈첸 (VINXEN)
SINKING DOWN WITH U,제련해도,빈첸 (VINXEN)
무슨 말이 필요해 (Go Away),YONG JUN HYUNG 1ST ALBUM `GOODBYE 20`s`,용준형
LATATA,I am,(여자)아이들
우리 둘만 아는,우리 둘만 아는,윤건
뒤집어버려,뒤집어버려,"박재범,사이먼 도미닉,로꼬,그레이(GRAY)"
빛나리,Positive,펜타곤 (PENTAGON)
"My Paradise (Feat. 청하, VINXEN)",My Paradise,GroovyRoom (그루비룸)
잊을만하면,잊을만하면,크러쉬 (CRUSH)
밤 (Time for the moon night),여자친구 The 6th Mini Album `Time for the moon night`,여자친구 (GFRIEND)
별 시 (別 時),별 시 (別 時),박효신
"Graduation (Feat. 이병재 (VINXEN), 이로한 (WEBSTER B))",고등래퍼2 Winner,김하온 (HAON)
달리 (Dally) (Feat. GRAY),달리 (Dally),효린
"별, 그대 (The Only Star)",Be Myself,황치열
그날의 너,Lovelyz 4th Mini Album 治癒 (치유),러블리즈
욕심,욕심,멜로망스(MeloMance)
어른,나의 아저씨 OST Part 2,Sondia
"YAHO (Feat. 지구인, 행주) (Prod. Jangsoo, Padi)",고등래퍼2 Final,윤진영 (Clloud)
부를게,NEW MOON,JBJ
주지마,건반 위의 하이에나 Part.4,"로꼬, 화사"
#결별,#결별,"길구봉구, 박보람"
향 (Scentist),EAU DE VIXX,빅스 (VIXX)
EASY (Feat. 식케이),magnolia,휘인
휴일 (Lazy),Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시)
Thursday,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시)
솔직히 (Honestly…),Honestly,에릭남
Vroom Vroom,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시)
Monday Blues,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시)
너에게 꽃이다,너에게 꽃이다,40 (포티)
내일 만나 (Sweet Dreams!),Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시)
Why Why Why,라이브 OST Part.4,펀치 (Punch)
"이로한 (Feat. ELO, Jessi) (Prod. Padi)",고등래퍼2 Final,배연서 (WEBSTER B)
Playdate,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시)
전혀 (Feat. 우원재) (Prod. GroovyRoom),고등래퍼2 Final,이병재 (Vinxen)
Stand By Your Man,French Touch,Carla Bruni
Trivia 起 : Just Dance,LOVE YOURSELF 結 `Answer`,방탄소년단
Epiphany,LOVE YOURSELF 結 `Answer`,방탄소년단
Answer : Love Myself,LOVE YOURSELF 結 `Answer`,방탄소년단
I`m Fine,LOVE YOURSELF 結 `Answer`,방탄소년단
Rumor,PRODUCE 48 - 30 Girls 6 Concepts,국.슈 (국프의 핫이슈)
Euphoria,LOVE YOURSELF 結 `Answer`,방탄소년단
IDOL,LOVE YOURSELF 結 `Answer`,방탄소년단
매트리스,4.1,10cm
BAE,BAE,효린
Attention,Attention,Charlie Puth
이방인,미스터 션샤인 OST Part 8,박원
A-TEEN,A-TEEN Part 3,세븐틴
한(一),한(一),(여자)아이들
Mosquito,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet)
Hit That Drum,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet)
Mr. E,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet)
Page 0,Page 0,"태연 (TAEYEON), 멜로망스(Melomance)"
Blue Lemonade,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet)
휴가,휴가,폴킴
태양 (Feat. 챈슬러),태양,개리 (Gary)
좋은 날,미스터 션샤인 OST Part 5,멜로망스(MeloMance)
한 여름의 크리스마스 (With You),Summer Magic - Summer Mini Album,레드벨벳(Red Velvet)
Power Up,Summer Magic - Summer Mini Album,레드벨벳(Red Velvet)
flex (Prod. By 기리보이),Dingo X Indigo Music,"기리보이,Kid Milli,NO:EL,스윙스(Swings)"
소리,미스터 션샤인 OST Part 4,이수현
비가 내리면,비가 내리면,비투비-블루
죽겠다 (KILLING ME),NEW KIDS : CONTINUE,iKON
SoulMate (Feat. 아이유),SoulMate,지코 (ZICO)
여보세요,여보세요,뉴이스트 (NU`EST)
"20 Something (PROD. 정동환, 정세운)",ANOTHER,정세운
WHERE R U FROM (Feat. MINO),THE GREAT SEUNGRI,승리
바다보러갈래 (SEE SEA),바다보러갈래 (SEE SEA),효린
Me No Jay Park,Me No Jay Park,사이먼 도미닉 (Simon Dominic)
나에게로 와,5TH MINI ALBUM `YOU MAKE MY DAY`,세븐틴
여름밤의 꿈 (Midnight Summer Dream),RED MOON,마마무 (Mamamoo)
우리의 새벽은 낮보다 뜨겁다,5TH MINI ALBUM `YOU MAKE MY DAY`,세븐틴
Holiday,5TH MINI ALBUM `YOU MAKE MY DAY`,세븐틴
6 o`clock,Red Diary `Hidden Track`,볼빨간 사춘기
"셋 셀테니 (1, 2, 3!)",THE GREAT SEUNGRI,승리
여름여름해 (Sunny Summer),Summer Mini Album `Sunny Summer`,여자친구 (GFRIEND)
어쩌나,5TH MINI ALBUM `YOU MAKE MY DAY`,세븐틴
Love U,Blooming Blue,청하
